Y,X,Z1,Z2,Z3,Z4
0.0,3.7661801435347293,1.0,7.0,1.3611503579464195,1.5463637476567507
0.0,0.1720571946940293,0.0,2.0,-0.12991597300321872,0.2903484296054295
0.0,4.9985339943477785,1.0,4.0,-0.17807916972250365,-0.14067277703354908
0.0,8.548841406406835,1.0,3.0,1.1563233822362056,-0.27489542863142485
0.0,8.07410488086429,1.0,7.0,-1.2313484759008615,-1.727890927903196
0.0,7.127582759901899,1.0,3.0,1.361235095786729,0.08141099875334844
0.0,7.42179276065295,1.0,9.0,1.3689135808794353,0.9061096712699033
0.0,2.695471195949457,1.0,2.0,0.7619927432420287,0.6178685605149434
0.0,6.637368388267735,1.0,4.0,-1.5014094013422783,-2.3991643529693887
0.0,7.809132069404675,1.0,8.0,-0.045143423030984994,-0.6743843781554831
0.0,1.547938686973481,0.0,1.0,-0.9097895379129489,-1.1902098907244039
1.0,-1.5767693454113503,0.0,2.0,-2.3101430115016903,-1.4943190487097429
0.0,2.6020484573729163,1.0,2.0,-0.11155506128299733,-0.023447123649559913
1.0,0.9642549412266289,0.0,7.0,-0.6300919524292825,-0.043741617162206765
1.0,-1.057892906974212,0.0,6.0,-1.2980160011874773,0.3684879723210903
0.0,1.3681981987834042,0.0,8.0,0.8123624090564221,1.7151356968765246
0.0,1.6278592042155724,0.0,3.0,-1.8433012076502224,-1.9440689204838404
1.0,0.3735728116726421,0.0,4.0,0.9123598501471425,1.2053591618398602
0.0,1.1341789444179244,0.0,4.0,-0.38434499633955704,-0.539709014609227
0.0,1.5426978635451905,0.0,5.0,-0.945574403686434,-0.19048562735171606
0.0,5.561407007822416,1.0,4.0,1.169712687643195,0.8341232544129922
0.0,5.105888243560034,1.0,0.0,0.16051590682216557,-1.416086121887835
0.0,1.5335511403783717,0.0,6.0,-1.2961297702854022,-0.5529327168416406
0.0,6.806071886154558,1.0,4.0,1.464139429040178,0.8362758570663615
0.0,3.0635436359267847,1.0,4.0,0.28360016538503624,0.6372109941764178
0.0,11.692738726940972,1.0,7.0,0.5870332008118084,-0.944509409584596
0.0,3.268159433017633,0.0,7.0,-1.231086706133821,-1.081566636432071
0.0,4.442038411419255,1.0,4.0,1.4374855495910768,0.8178649031349282
0.0,4.008238591902558,1.0,5.0,0.21333222299524868,0.49897569271050307
0.0,5.7020029198483595,1.0,5.0,0.6201391215273061,0.30110391548209625
0.0,-1.666528828524551,0.0,3.0,-1.4203539691522742,-0.5659433092368088
0.0,2.629301549580373,0.0,3.0,0.19931611851701142,0.014068547616028736
0.0,3.302739831733944,1.0,3.0,0.810586044438368,0.3204510117967661
0.0,7.359367885151222,1.0,4.0,0.8899992047357081,0.10039885216623043
0.0,5.273746524483777,1.0,6.0,1.1734379860271282,0.7894819099973852
1.0,-1.6206307742930348,0.0,3.0,0.3789127548657307,1.0908076379243983
1.0,-2.0447789764459263,0.0,1.0,-0.40589641701067936,0.40442165103547045
0.0,6.228313427220349,1.0,7.0,0.03088200325612837,-0.06756482980277612
0.0,0.8940205292445762,0.0,4.0,-0.7309285940056606,-0.30762741588937614
1.0,0.18326977709692183,0.0,7.0,0.05896055544144912,0.9169842411516824
1.0,1.7510834535499487,0.0,9.0,-1.1449263101460105,-0.3973172250599565
0.0,-0.43200620286107094,0.0,3.0,-1.4335216574410794,-1.1672003722798765
0.0,3.2329225503080274,0.0,4.0,-0.22797937236559176,-0.7138468563448909
0.0,5.616614118751858,1.0,6.0,1.868393102361266,2.0211954676142834
1.0,-1.13922606206141,0.0,2.0,-1.3926784043961773,-0.6810240295903327
1.0,1.4091167067992822,0.0,7.0,-0.3807865981261925,0.6026459178605311
0.0,5.407314972342496,0.0,6.0,0.2124423104436306,-0.10486223442847091
0.0,0.48749477303181143,0.0,5.0,-0.9400696863269046,-0.46524078368316407
1.0,1.8847554328877276,0.0,8.0,-0.8199721182206233,-0.17708168020165402
0.0,8.087499851902777,1.0,5.0,-0.41120008629725646,-0.8833024165773502
0.0,8.272874689317657,1.0,10.0,-0.9088189180700681,-0.8516626771826387
0.0,7.277025187286764,1.0,5.0,3.151584086424912,1.6684408487252067
0.0,2.8086474718435266,0.0,2.0,-0.8977824808402413,-1.3716155327677813
0.0,3.693119161277939,1.0,5.0,-0.8070856500410932,-0.5379387063538409
0.0,8.050556693603497,1.0,5.0,0.805754820450574,-0.10227970713100389
